959695171,64, AZ
355480298,101, TN
292475711,14, MN
713990434,9, LA
1558835532,53, WV
873719127,35, NJ
36327049,111, NH
670172212,57, SD
774242263,49, NC
167099931,47, PA
672532789,4, VA
1000259289,22, AK
1934705482,110, NE
555532868,31, WY
242405836,72, MA
1504319838,86, TN
887974687,93, CA
599619394,111, RI
1544139869,43, ID
476241374,105, GA
448169615,32, WI
1146736722,6, DE
158521110,82, ID
1761310034,84, WI
1553502260,103, NY
878816296,113, AR
1906771513,21, LA
661356265,65, NC
958824219,97, AK
1824325895,109, NM
928465703,2, OH
1817335194,83, SC
1497760022,73, DE
77342915,85, VA
618479842,88, MS
309789175,55, CA
996530722,80, AK
1217876827,111, ND
1711619478,13, NE
777179204,96, TX
1860928327,31, MS
1682296735,32, MT
1416568202,40, LA
1907425483,13, LA
358430857,15, ME
1640839716,42, IN
653839173,82, IN
399147110,78, NJ
1167657015,18, MD
312003703,52, IN
770151661,84, HI
795907427,8, MA
1738667881,67, MS
907920535,86, MS
1086108915,65, CT
63791761,94, KY
1680958409,20, NM
1881903271,62, MS
257415652,79, WI
1292359312,88, MT
1539789968,23, UT
831410391,57, WA
1812637098,35, MS
687703908,10, GA
131238099,111, MI
1996108205,19, NH
318671828,2, ME
1687443544,64, RI
841099008,3, TX
888746082,89, NJ
618053457,68, OH
1403536894,12, TX
1263877540,3, VT
1075421615,48, SD
1435610943,73, MD
871686799,81, WI
1144828272,8, NM
257367202,100, FL
831005471,22, MA
1715373696,60, WI
656478844,77, PA
62174193,50, AZ
868581424,98, DC
1818628937,39, SC
1403500235,74, HI
1845127005,96, MI
1368183840,74, TX
1787717263,5, NM
1663353871,74, IA
1618631523,88, NC
1601785557,91, AR
1531724127,106, MA
1087668396,6, SD
745832766,46, MN
1507906480,93, WA
1414702039,73, TX
164076547,55, RI
1472250129,102, OK
1841443805,61, GA
1663464684,84, MD
337189864,14, CA
1172879452,75, NV
1238472196,88, CT
1784500870,97, MS
1564981111,72, TX
1569559729,101, ME
277691675,28, AR
1854347729,72, NV
1731077893,42, MO
1203973291,58, RI
1069703332,52, UT
1352010193,50, IA
1082939257,89, KY
124449561,19, NE
1449992689,71, WI
1225474102,114, CA
975616699,25, ME
793937538,69, OR
765646566,23, UT
1600999021,3, SD
1068339598,30, NC
292280007,54, WI
1430916047,19, NE
916921597,39, SD
1437719164,23, ID
825391394,105, UT
307652224,25, RI
1574742292,28, WY
645725742,62, IN
147287640,109, TN
1383260355,78, VA
1375093849,104, MI
537401062,61, SC
1174181675,81, MT
975953393,108, DC
1896824582,83, ND
1194712901,23, HI
1218507026,58, MS
1271490537,85, TN
1025815610,100, GA
1380318289,7, AL
989918498,42, KS
1816637205,69, IA
821492356,51, NM
750077619,74, MN
1767918426,36, OH
1645911536,89, DC
1234782415,68, OR
1564452680,108, NV
272082419,25, DE
68629392,48, DC
955063125,12, HI
1800913615,111, WI
914463033,81, OH
1426867614,108, AL
1340595479,42, ME
1453514503,26, CT
1912982892,95, TN
67487078,49, AL
1942547273,17, WY
1940940508,75, SD
1697707241,46, WA
1903325262,37, NH
925928265,111, MO
847837695,10, AZ
1550814393,70, IN
359220585,15, NE
1005429414,38, NM
948381081,8, UT
1933322549,82, IN
1041877100,108, WI
1729118060,112, ME
1088795741,52, WA
1843621110,14, ME
507581889,6, NJ
1143112388,93, IN
1427360697,95, TX
973099028,105, OR
232545272,87, VT
899956669,40, IA
1161729649,49, VT
785400216,112, NC
37955174,52, FL
1143614071,29, CO
1670586457,100, OH
1258917160,100, MO
1798204681,45, NC
468815693,26, DC
1552700243,111, NM
504072959,104, OK
195389355,64, ME
353950873,21, UT
1646049175,109, MT
1968518187,52, FL
1533484615,88, AR
1315201125,49, RI
1580698429,105, OK
1614172399,8, MA
141922479,37, AK
1098487949,13, WY
1500816637,44, NC
1162802563,104, DC
1151870832,69, AZ
51690771,76, MN
1497304108,28, MN
113132808,36, FL
901057005,87, ID
129348785,26, LA
1123171852,106, WY
1026482873,78, MO
1403348437,108, SD
879749036,103, RI
912926788,20, OH
1699152728,24, LA
1328650160,10, DE
1848718063,76, RI
980398259,88, IL
1068115190,51, NC
1455897816,48, MN
445722447,48, OH
605756520,80, KS
358844619,18, KY
750693522,27, MO
1869914929,102, MI
884076004,19, OK
1403727752,70, MT
1365424759,50, WA
258591825,95, IN
1351961256,80, MA
477022642,31, HI
1817446414,35, MS
1883567588,81, ME
951884273,40, NY
1375360104,107, MA
1349355965,101, KY
1332788440,10, TN
1314137289,15, NC
824641092,102, VT
1004668134,83, WA
457218682,4, ND
554535732,50, SC
1406525097,28, NM
863083337,70, OR
1353688388,1, WI
127724743,77, ID
1052375325,105, DC
1888288692,12, NH
156263405,7, OR
515467368,88, IL
1019929355,77, IA
112362451,21, MS
3156673,76, NM
945176401,49, MN
907161522,102, MA
1029620073,4, NJ
1425127733,57, VA
1126200653,66, AZ
971547237,43, CA
1107943076,37, WV
1652428730,65, MN
896161860,53, OK
1808355055,25, DC
912501703,98, MD
787285456,99, WY
1384874248,87, LA
835087942,65, MO
580478487,49, NY
804329567,102, HI
152397630,59, AR
42757521,101, NH
86892522,44, ID
1002986567,105, WV
1447118014,73, NE
137453390,45, MT
